location,total_vaccinations,people_vaccinated,total_boosters,population,continent,latitude,longitude,total_cases,total_deaths,new_cases,new_deaths
Afghanistan,5597130.0,4952744.0,,39835428.0,Asia,33.93911,67.709953,59288953.0,2582957.0,175533.0,7636.0
Albania,2729969.0,1274514.0,248491.0,2872934.0,Europe,41.153332,20.168331,71991457.0,1188032.0,272412.0,3483.0
Algeria,13704895.0,7461932.0,436274.0,44616626.0,Africa,28.033886,1.659626,84601697.0,2390873.0,265346.0,6860.0
Andorra,142420.0,57797.0,24732.0,77354.0,Europe,42.546245,1.601554,8088537.0,70080.0,38794.0,152.0
Angola,16850195.0,10895481.0,258168.0,33933611.0,Africa,-11.202692,17.873887,22659972.0,533094.0,98855.0,1903.0
Anguilla,22420.0,10439.0,2419.0,15125.0,North America,18.220554,-63.068615,287556.0,778.0,2574.0,10.0
Antigua and Barbuda,125031.0,63704.0,,98728.0,North America,17.060816,-61.796428,1149527.0,28195.0,7463.0,135.0
Argentina,95056668.0,40501769.0,17879371.0,45605823.0,South America,-38.416097,-63.616672,2132984176.0,43778767.0,8955458.0,126955.0
Armenia,2031732.0,1087524.0,23230.0,2968128.0,Asia,40.069099,45.038189,126755296.0,2542114.0,421592.0,8562.0
Aruba,168314.0,87621.0,,107195.0,North America,12.52111,-69.968338,7082218.0,61107.0,33732.0,213.0
Australia,55054842.0,22130630.0,12209966.0,25788217.0,Oceania,-25.274398,133.775136,197268930.0,827734.0,3525635.0,5523.0
Austria,18092659.0,6808151.0,5054419.0,9043072.0,Europe,47.516231,14.550072,409521778.0,5095519.0,2972647.0,15127.0
Azerbaijan,13263746.0,5314246.0,2926667.0,10223344.0,Asia,40.143105,47.576927,197731338.0,2656897.0,789883.0,9558.0
Bahamas,331157.0,164099.0,23368.0,396914.0,North America,25.03428,-77.39628,8270778.0,197086.0,33228.0,771.0
Bahrain,3375361.0,1227305.0,950713.0,1748295.0,Asia,25.930414,50.637772,120035962.0,515043.0,532265.0,1518.0
Bangladesh,220410542.0,126228916.0,4886043.0,166303494.0,Asia,23.684994,90.356331,578221115.0,9402579.0,1948471.0,29097.0
Barbados,310966.0,160629.0,,287708.0,North America,13.193887,-59.543198,6024084.0,49605.0,56551.0,323.0
Belarus,10649534.0,5528298.0,275734.0,9442867.0,Europe,53.709807,27.953389,233158694.0,1780643.0,934187.0,6608.0
Belgium,25153368.0,9225937.0,7246409.0,11632334.0,Europe,50.503887,4.469936,673577081.0,13870568.0,3609122.0,30430.0
Belize,462901.0,235178.0,40362.0,404915.0,North America,17.189877,-88.49765,10188042.0,191772.0,56976.0,656.0
Benin,3060435.0,2777245.0,,12451031.0,Africa,9.30769,2.315834,6870254.0,59418.0,26784.0,163.0
Bermuda,125925.0,47784.0,31766.0,62092.0,North America,32.321384,-64.75737,1822464.0,26437.0,11743.0,123.0
Bhutan,1592652.0,596568.0,351962.0,779900.0,Asia,27.514162,90.433601,1193532.0,966.0,15946.0,7.0
Bolivia,12720136.0,6969101.0,1085444.0,11832936.0,South America,-16.290154,-63.588653,223029217.0,8324073.0,896315.0,21470.0
Bosnia and Herzegovina,1924950.0,943394.0,120530.0,3263459.0,Europe,43.915886,17.679076,105009824.0,4503468.0,372817.0,15621.0
Botswana,1445394.0,1445393.0,158470.0,2397240.0,Africa,-22.328474,24.684866,54799553.0,665784.0,263950.0,2619.0
Brazil,402573315.0,179754579.0,70236716.0,213993441.0,South America,-14.235004,-51.92528,8857841633.0,239750544.0,29093019.0,653767.0
British Virgin Islands,36610.0,18923.0,,30423.0,North America,18.420695,-64.639968,881996.0,10081.0,6091.0,62.0
Brunei,1041610.0,407674.0,118331.0,441532.0,Asia,4.535277,114.727669,3576557.0,17421.0,100191.0,155.0
