country,score,gdp,social,life_expectancy,freedom,latitude,longitude
Finland,7.769,1.34,1.587,0.986,0.596,61.92411,25.748151
Denmark,7.6,1.383,1.573,0.996,0.592,56.26392,9.501785
Norway,7.554,1.488,1.582,1.028,0.603,60.472024,8.468946
Iceland,7.494,1.38,1.624,1.026,0.591,64.963051,-19.020835
Netherlands,7.488,1.396,1.522,0.999,0.557,52.132633,5.291266
Switzerland,7.48,1.452,1.526,1.052,0.572,46.818188,8.227512
Sweden,7.343,1.387,1.487,1.009,0.574,60.128161,18.643501
New Zealand,7.307,1.303,1.557,1.026,0.585,-40.900557,174.885971
Canada,7.278,1.365,1.505,1.039,0.584,56.130366,-106.346771
Austria,7.246,1.376,1.475,1.016,0.532,47.516231,14.550072
Australia,7.228,1.372,1.548,1.036,0.557,-25.274398,133.775136
Costa Rica,7.167,1.034,1.441,0.963,0.558,9.748917,-83.753428
Israel,7.139,1.276,1.455,1.029,0.371,31.046051,34.851612
Luxembourg,7.09,1.609,1.479,1.012,0.526,49.815273,6.129583
United Kingdom,7.054,1.333,1.538,0.996,0.45,55.378051,-3.435973
Ireland,7.021,1.499,1.553,0.999,0.516,53.41291,-8.24389
Germany,6.985,1.373,1.454,0.987,0.495,51.165691,10.451526
Belgium,6.923,1.356,1.504,0.986,0.473,50.503887,4.469936
United States,6.892,1.433,1.457,0.874,0.454,37.09024,-95.712891
Czech Republic,6.852,1.269,1.487,0.92,0.457,49.817492,15.472962
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,23.424076,53.847818
Malta,6.726,1.3,1.52,0.999,0.564,35.937496,14.375416
Mexico,6.595,1.07,1.323,0.861,0.433,23.634501,-102.552784
France,6.592,1.324,1.472,1.045,0.436,46.227638,2.213749
Taiwan,6.446,1.368,1.43,0.914,0.351,23.69781,120.960515
Chile,6.444,1.159,1.369,0.92,0.357,-35.675147,-71.542969
Guatemala,6.436,0.8,1.269,0.746,0.535,15.783471,-90.230759
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,23.885942,45.079162
Qatar,6.374,1.684,1.313,0.871,0.555,25.354826,51.183884
Spain,6.354,1.286,1.484,1.062,0.362,40.463667,-3.74922
Panama,6.321,1.149,1.442,0.91,0.516,8.537981,-80.782127
Brazil,6.3,1.004,1.439,0.802,0.39,-14.235004,-51.92528
Uruguay,6.293,1.124,1.465,0.891,0.523,-32.522779,-55.765835
Singapore,6.262,1.572,1.463,1.141,0.556,1.352083,103.819836
El Salvador,6.253,0.794,1.242,0.789,0.43,13.794185,-88.89653
Italy,6.223,1.294,1.488,1.039,0.231,41.87194,12.56738
Bahrain,6.199,1.362,1.368,0.871,0.536,25.930414,50.637772
Slovakia,6.198,1.246,1.504,0.881,0.334,48.669026,19.699024
Poland,6.182,1.206,1.438,0.884,0.483,51.919438,19.145136
Uzbekistan,6.174,0.745,1.529,0.756,0.631,41.377491,64.585262
Lithuania,6.149,1.238,1.515,0.818,0.291,55.169438,23.881275
Colombia,6.125,0.985,1.41,0.841,0.47,4.570868,-74.297333
Slovenia,6.118,1.258,1.523,0.953,0.564,46.151241,14.995463
Nicaragua,6.105,0.694,1.325,0.835,0.435,12.865416,-85.207229
Kosovo,6.1,0.882,1.232,0.758,0.489,42.602636,20.902977
Argentina,6.086,1.092,1.432,0.881,0.471,-38.416097,-63.616672
Romania,6.07,1.162,1.232,0.825,0.462,45.943161,24.96676
Cyprus,6.046,1.263,1.223,1.042,0.406,35.126413,33.429859
Ecuador,6.028,0.912,1.312,0.868,0.498,-1.831239,-78.183406
Kuwait,6.021,1.5,1.319,0.808,0.493,29.31166,47.481766
Thailand,6.008,1.05,1.409,0.828,0.557,15.870032,100.992541
Latvia,5.94,1.187,1.465,0.812,0.264,56.879635,24.603189
South Korea,5.895,1.301,1.219,1.036,0.159,35.907757,127.766922
Estonia,5.893,1.237,1.528,0.874,0.495,58.595272,25.013607
Jamaica,5.89,0.831,1.478,0.831,0.49,18.109581,-77.297508
Mauritius,5.888,1.12,1.402,0.798,0.498,-20.348404,57.552152
Japan,5.886,1.327,1.419,1.088,0.445,36.204824,138.252924
Honduras,5.86,0.642,1.236,0.828,0.507,15.199999,-86.241905
Kazakhstan,5.809,1.173,1.508,0.729,0.41,48.019573,66.923684
Bolivia,5.779,0.776,1.209,0.706,0.511,-16.290154,-63.588653
Hungary,5.758,1.201,1.41,0.828,0.199,47.162494,19.503304
Paraguay,5.743,0.855,1.475,0.777,0.514,-23.442503,-58.443832
Peru,5.697,0.96,1.274,0.854,0.455,-9.189967,-75.015152
Portugal,5.693,1.221,1.431,0.999,0.508,39.399872,-8.224454
Pakistan,5.653,0.677,0.886,0.535,0.313,30.375321,69.345116
Russia,5.648,1.183,1.452,0.726,0.334,61.52401,105.318756
Philippines,5.631,0.807,1.293,0.657,0.558,12.879721,121.774017
Serbia,5.603,1.004,1.383,0.854,0.282,44.016521,21.005859
Moldova,5.529,0.685,1.328,0.739,0.245,47.411631,28.369885
Libya,5.525,1.044,1.303,0.673,0.416,26.3351,17.228331
Montenegro,5.523,1.051,1.361,0.871,0.197,42.708678,19.37439
Tajikistan,5.467,0.493,1.098,0.718,0.389,38.861034,71.276093
Croatia,5.432,1.155,1.266,0.914,0.296,45.1,15.2
Hong Kong,5.43,1.438,1.277,1.122,0.44,22.396428,114.109497
Dominican Republic,5.425,1.015,1.401,0.779,0.497,18.735693,-70.162651
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,43.915886,17.679076
Turkey,5.373,1.183,1.36,0.808,0.195,38.963745,35.243322
Malaysia,5.339,1.221,1.171,0.828,0.508,4.210484,101.975766
Belarus,5.323,1.067,1.465,0.789,0.235,53.709807,27.953389
Greece,5.287,1.181,1.156,0.999,0.067,39.074208,21.824312
Mongolia,5.285,0.948,1.531,0.667,0.317,46.862496,103.846656
Nigeria,5.265,0.696,1.111,0.245,0.426,9.081999,8.675277
Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,41.20438,74.766098
Turkmenistan,5.247,1.052,1.538,0.657,0.394,38.969719,59.556278
Algeria,5.211,1.002,1.16,0.785,0.086,28.033886,1.659626
Morocco,5.208,0.801,0.782,0.782,0.418,31.791702,-7.09262
Azerbaijan,5.208,1.043,1.147,0.769,0.351,40.143105,47.576927
Lebanon,5.197,0.987,1.224,0.815,0.216,33.854721,35.862285
Indonesia,5.192,0.931,1.203,0.66,0.491,-0.789275,113.921327
China,5.191,1.029,1.125,0.893,0.521,35.86166,104.195397
Vietnam,5.175,0.741,1.346,0.851,0.543,14.058324,108.277199
Bhutan,5.082,0.813,1.321,0.604,0.457,27.514162,90.433601
Cameroon,5.044,0.549,0.91,0.331,0.381,7.369722,12.354722
Bulgaria,5.011,1.092,1.513,0.815,0.311,42.733883,25.48583
Ghana,4.996,0.611,0.868,0.486,0.381,7.946527,-1.023194
Nepal,4.913,0.446,1.226,0.677,0.439,28.394857,84.124008
Jordan,4.906,0.837,1.225,0.815,0.383,30.585164,36.238414
Benin,4.883,0.393,0.437,0.397,0.349,9.30769,2.315834
Gabon,4.799,1.057,1.183,0.571,0.295,-0.803689,11.609444
Laos,4.796,0.764,1.03,0.551,0.547,19.85627,102.495496
South Africa,4.722,0.96,1.351,0.469,0.389,-30.559482,22.937506
Albania,4.719,0.947,0.848,0.874,0.383,41.153332,20.168331
Venezuela,4.707,0.96,1.427,0.805,0.154,6.42375,-66.58973
Cambodia,4.7,0.574,1.122,0.637,0.609,12.565679,104.990963
Palestinian Territories,4.696,0.657,1.247,0.672,0.225,31.952162,35.233154
Senegal,4.681,0.45,1.134,0.571,0.292,14.497401,-14.452362
Somalia,4.668,0.0,0.698,0.268,0.559,5.152149,46.199616
Namibia,4.639,0.879,1.313,0.477,0.401,-22.95764,18.49041
Niger,4.628,0.138,0.774,0.366,0.318,17.607789,8.081666
Burkina Faso,4.587,0.331,1.056,0.38,0.255,12.238333,-1.561593
Armenia,4.559,0.85,1.055,0.815,0.283,40.069099,45.038189
Iran,4.548,1.1,0.842,0.785,0.305,32.427908,53.688046
Guinea,4.534,0.38,0.829,0.375,0.332,9.945587,-9.696645
Georgia,4.519,0.886,0.666,0.752,0.346,42.315407,43.356892
Gambia,4.516,0.308,0.939,0.428,0.382,13.443182,-15.310139
Kenya,4.509,0.512,0.983,0.581,0.431,-0.023559,37.906193
Mauritania,4.49,0.57,1.167,0.489,0.066,21.00789,-10.940835
Mozambique,4.466,0.204,0.986,0.39,0.494,-18.665695,35.529562
Tunisia,4.461,0.921,1.0,0.815,0.167,33.886917,9.537499
Bangladesh,4.456,0.562,0.928,0.723,0.527,23.684994,90.356331
Iraq,4.437,1.043,0.98,0.574,0.241,33.223191,43.679291
Mali,4.39,0.385,1.105,0.308,0.327,17.570692,-3.996166
Sierra Leone,4.374,0.268,0.841,0.242,0.309,8.460555,-11.779889
Sri Lanka,4.366,0.949,1.265,0.831,0.47,7.873054,80.771797
Chad,4.35,0.35,0.766,0.192,0.174,15.454166,18.732207
Ukraine,4.332,0.82,1.39,0.739,0.178,48.379433,31.16558
Ethiopia,4.286,0.336,1.033,0.532,0.344,9.145,40.489673
Swaziland,4.212,0.811,1.149,0.0,0.313,-26.522503,31.465866
Uganda,4.189,0.332,1.069,0.443,0.356,1.373333,32.290275
Egypt,4.166,0.913,1.039,0.644,0.241,26.820553,30.802498
Zambia,4.107,0.578,1.058,0.426,0.431,-13.133897,27.849332
Togo,4.085,0.275,0.572,0.41,0.293,8.619543,0.824782
India,4.015,0.755,0.765,0.588,0.498,20.593684,78.96288
Liberia,3.975,0.073,0.922,0.443,0.37,6.428055,-9.429499
Comoros,3.973,0.274,0.757,0.505,0.142,-11.875001,43.872219
Madagascar,3.933,0.274,0.916,0.555,0.148,-18.766947,46.869107
Lesotho,3.802,0.489,1.169,0.168,0.359,-29.609988,28.233608
Burundi,3.775,0.046,0.447,0.38,0.22,-3.373056,29.918886
Zimbabwe,3.663,0.366,1.114,0.433,0.361,-19.015438,29.154857
Haiti,3.597,0.323,0.688,0.449,0.026,18.971187,-72.285215
Botswana,3.488,1.041,1.145,0.538,0.455,-22.328474,24.684866
Syria,3.462,0.619,0.378,0.44,0.013,34.802075,38.996815
Malawi,3.41,0.191,0.56,0.495,0.443,-13.254308,34.301525
Yemen,3.38,0.287,1.163,0.463,0.143,15.552727,48.516388
Rwanda,3.334,0.359,0.711,0.614,0.555,-1.940278,29.873888
Tanzania,3.231,0.476,0.885,0.499,0.417,-6.369028,34.888822
Afghanistan,3.203,0.35,0.517,0.361,0.0,33.93911,67.709953
Central African Republic,3.083,0.026,0.0,0.105,0.225,6.611111,20.939444
